tweet_id,retweet_count,favorite_count
806242860592926720,10889,0
806219024703037440,1134,6136
805958939288408065,5017,0
805932879469572096,1802,7887
805826884734976000,1717,6245
805823200554876929,7483,0
805520635690676224,1552,5485
805487436403003392,2382,8354
805207613751304193,1628,7483
804738756058218496,3603,12996
804475857670639616,1892,5850
804413760345620481,3012,0
804026241225523202,15060,42079
803773340896923648,2591,9560
803692223237865472,6931,0
803638050916102144,3887,10380
803380650405482500,1769,7397
803321560782307329,4961,0
803276597545603072,2299,9559
802952499103731712,1875,8580
802624713319034886,2727,0
802600418706604034,1384,6767
802572683846291456,2358,8520
802323869084381190,5483,15347
802265048156610565,1298,6622
802239329049477120,2460,8648
802185808107208704,251,0
801958328846974976,1597,7368
801854953262350336,219,1725
801538201127157760,1954,7817
801285448605831168,773,5746
801167903437357056,5521,23189
801127390143516673,3699,0
801115127852503040,1985,7680
800859414831898624,91,647
800855607700029440,1519,0
800751577355128832,2637,10093
800513324630806528,2833,12503
800459316964663297,2063,9051
800443802682937345,4025,0
800388270626521089,2638,10624
800188575492947969,3697,0
800141422401830912,2395,14520
800018252395122689,12330,26917
799774291445383169,4374,0
799757965289017345,2004,7979
799422933579902976,1801,7690
799308762079035393,5092,0
799297110730567681,2568,9389
799063482566066176,2340,7699
798933969379225600,4161,12429
798925684722855936,1362,7160
798705661114773508,6222,0
798701998996647937,7252,0
798697898615730177,6103,0
798694562394996736,4643,0
798686750113755136,2181,0
798682547630837760,4435,0
798673117451325440,5226,0
798665375516884993,3677,0
798644042770751489,1746,0
798628517273620480,1867,0
798585098161549313,5277,0
798576900688019456,5488,0
798340744599797760,3142,0
798209839306514432,2425,9932
797971864723324932,2893,10962
797545162159308800,4620,13885
797236660651966464,6165,18949
797165961484890113,24,212
796904159865868288,8360,0
796865951799083009,1829,7317
796759840936919040,2837,11217
796563435802726400,6748,0
796484825502875648,1653,7190
796387464403357696,3893,10469
796177847564038144,13383,0
796149749086875649,13383,30544
796125600683540480,1686,4739
796116448414461957,2254,8647
796080075804475393,2169,8025
796031486298386433,3502,10277
795464331001561088,21988,46829
795400264262053889,2686,9521
795076730285391872,5104,15351
794983741416415232,3160,0
794926597468000259,2161,9688
794355576146903043,9671,0
794332329137291264,2539,9139
794205286408003585,3116,8778
793962221541933056,4582,15919
793845145112371200,1749,8778
793614319594401792,2930,0
793601777308463104,1518,7585
793500921481273345,2236,10129
793286476301799424,8602,23364
793271401113350145,2249,8258
793256262322548741,7812,18946
793241302385262592,3080,9996
793226087023144960,2718,9289
793210959003287553,2611,8487
793195938047070209,5280,14461
793180763617361921,1867,6573
793165685325201412,2629,8914
793150605191548928,1597,5857
793135492858580992,2362,6085
793120401413079041,3689,12033
792913359805018113,3718,13611
792883833364439040,4005,10713
792773781206999040,1572,7003
792394556390137856,4018,12731
792050063153438720,1673,6777
791821351946420224,19725,0
791784077045166082,8909,0
791780927877898241,3560,0
791774931465953280,20780,42778
791672322847637504,2930,11154
791406955684368384,3860,12495
791312159183634433,2368,8326
791026214425268224,3818,0
790987426131050500,1992,9310
790946055508652032,4392,15868
790723298204217344,2146,0
790698755171364864,1808,7807
790581949425475584,6651,19576
790337589677002753,1769,7421
790277117346975746,2958,11901
790227638568808452,3313,0
789986466051088384,2146,8809
789960241177853952,3839,0
789903600034189313,3887,9792
789628658055020548,1651,7084
789599242079838210,1796,6382
789530877013393408,3160,11095
789314372632018944,2139,8205
789280767834746880,4592,0
789268448748703744,2449,8665
789137962068021249,2609,9228
788908386943430656,11718,26086
788765914992902144,9671,25921
788552643979468800,6670,0
788412144018661376,4930,14730
788178268662984705,1980,6902
788150585577050112,1201,5803
788070120937619456,3215,0
788039637453406209,1230,5800
